LapTimeCurrent,SpeedKmh,Throttle,Brake,Steering,Gear,Rpms,GlobalAccelerationG,LateralG,CarCoordX,CarCoordZ,TyreTempFL,TyreTempFR,TyreTempRL,TyreTempRR,BrakeTempFL,BrakeTempFR,BrakeTempRL,BrakeTempRR
48303,5.36,1.0,0.0,-0.0318,2,2473,1.0899,0.0127,-171.637,-42.886,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48321,6.17,1.0,0.0,-0.0395,2,2472,1.1074,-0.0141,-171.624,-42.86,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48342,6.35,1.0,0.0,-0.0609,2,2473,1.1325,0.0301,-171.607,-42.827,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48360,7.03,1.0,0.0,-0.073,2,2473,1.0031,0.034,-171.592,-42.797,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48384,7.54,1.0,0.0,-0.0817,2,2473,1.1004,0.0058,-171.569,-42.754,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48402,8.01,1.0,0.0,-0.1013,2,2473,0.9073,0.0676,-171.552,-42.719,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48423,8.39,1.0,0.0,-0.1208,2,2473,0.7897,0.0372,-171.53,-42.677,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48447,8.97,1.0,0.0,-0.1699,2,2473,0.764,0.0823,-171.503,-42.625,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48468,9.45,1.0,0.0,-0.2129,2,2473,0.7241,0.0894,-171.478,-42.578,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48486,9.93,1.0,0.0,-0.2559,2,2473,0.6731,0.101,-171.455,-42.535,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48510,10.42,1.0,0.0,-0.2988,2,2473,0.672,0.1019,-171.422,-42.476,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48531,10.91,1.0,0.0,-0.3418,2,2473,0.661,0.1206,-171.392,-42.421,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48555,11.39,1.0,0.0,-0.3726,2,2474,0.6723,0.1113,-171.355,-42.356,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48573,11.88,1.0,0.0,-0.3436,2,2474,0.6307,0.0477,-171.327,-42.305,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48591,12.37,1.0,0.0,-0.3007,2,2474,0.6754,-0.0607,-171.297,-42.252,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48618,12.86,1.0,0.0,-0.2577,2,2474,0.6592,-0.0401,-171.25,-42.17,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48636,13.34,1.0,0.0,-0.2147,2,2474,0.6558,-0.0915,-171.218,-42.112,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48654,13.77,1.0,0.0,-0.1779,2,2474,0.6683,-0.0795,-171.185,-42.053,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48681,14.33,1.0,0.0,-0.1287,2,2474,0.6711,-0.0685,-171.135,-41.96,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48699,14.82,1.0,0.0,-0.113,2,2475,0.6833,-0.0201,-171.1,-41.895,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48717,15.31,1.0,0.0,-0.1169,2,2475,0.6649,0.0184,-171.064,-41.829,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48738,15.79,1.0,0.0,-0.1357,2,2475,0.6657,0.0707,-171.021,-41.749,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48762,16.21,1.0,0.0,-0.1412,2,2475,0.6662,0.0901,-170.97,-41.655,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48780,16.7,1.0,0.0,-0.1609,2,2475,0.6539,0.058,-170.93,-41.583,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48801,17.19,1.0,0.0,-0.1698,2,2476,0.6607,0.1043,-170.882,-41.496,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48819,17.68,1.0,0.0,-0.1668,2,2476,0.6485,0.0466,-170.84,-41.42,79.9,79.9,80.0,80.0,0.0,26.0,26.0,26.0
48843,18.17,1.0,0.0,-0.1563,2,2476,0.6547,0.0295,-170.782,-41.316,79.9,79.9,80.0,80.0,0.0,26.0,26.0,26.0
48864,18.66,1.0,0.0,-0.1554,2,2477,0.6591,0.0043,-170.729,-41.222,79.9,79.9,80.0,80.0,0.0,26.0,26.0,26.0
48882,19.15,1.0,0.0,-0.1272,2,2477,0.661,0.0169,-170.683,-41.139,79.9,79.9,80.0,80.0,0.0,26.0,26.0,26.0
48909,19.64,1.0,0.0,-0.1194,2,2477,0.6603,-0.0369,-170.612,-41.012,79.9,79.9,80.0,80.0,0.0,26.0,26.0,26.0
48927,20.13,1.0,0.0,-0.1115,2,2478,0.6475,0.0322,-170.564,-40.925,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
48948,20.69,1.0,0.0,-0.1066,2,2478,0.6603,0.0312,-170.506,-40.82,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
48966,21.11,1.0,0.0,-0.1055,2,2479,0.6548,0.0443,-170.455,-40.729,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
48993,21.6,1.0,0.0,-0.1023,2,2479,0.6522,0.0159,-170.377,-40.589,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49011,22.09,1.0,0.0,-0.1015,2,2480,0.6729,0.0633,-170.324,-40.494,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49029,22.58,1.0,0.0,-0.1013,2,2480,0.6648,0.014,-170.269,-40.396,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49056,23.07,1.0,0.0,-0.1012,2,2481,0.66,0.0694,-170.185,-40.247,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49074,23.49,1.0,0.0,-0.1038,2,2482,0.6567,0.0648,-170.128,-40.145,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49092,23.98,1.0,0.0,-0.1046,2,2483,0.6626,0.0233,-170.069,-40.041,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49110,24.46,1.0,0.0,-0.1048,2,2484,0.6538,0.074,-170.01,-39.936,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49134,24.88,1.0,0.0,-0.1048,2,2485,0.6397,0.0788,-169.928,-39.792,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49152,25.44,1.0,0.0,-0.1047,2,2486,0.6661,0.0615,-169.866,-39.683,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49173,25.92,1.0,0.0,-0.1047,2,2488,0.6524,0.0214,-169.792,-39.553,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49194,26.34,1.0,0.0,-0.0968,2,2490,0.66,-0.0004,-169.716,-39.421,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49215,26.83,1.0,0.0,-0.0861,2,2493,0.6469,0.0306,-169.639,-39.286,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49236,27.32,1.0,0.0,-0.078,2,2496,0.6666,-0.0399,-169.561,-39.149,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49257,27.74,1.0,0.0,-0.0689,2,2499,0.6668,-0.01,-169.481,-39.009,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49275,28.23,1.0,0.0,-0.0641,2,2504,0.6681,0.0414,-169.411,-38.887,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49296,28.71,1.0,0.0,-0.0612,2,2511,0.6534,-0.0073,-169.328,-38.743,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49317,29.13,1.0,0.0,-0.0573,2,2518,0.6475,-0.007,-169.244,-38.596,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49338,29.62,1.0,0.0,-0.055,2,2529,0.6531,0.0533,-169.159,-38.447,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49359,30.1,1.0,0.0,-0.0534,2,2545,0.6596,0.0063,-169.072,-38.295,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49374,30.59,1.0,0.0,-0.0513,2,2564,0.6492,0.0343,-169.009,-38.185,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49395,31.0,1.0,0.0,-0.0503,2,2586,0.6507,0.0164,-168.919,-38.03,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49416,31.48,1.0,0.0,-0.0496,2,2611,0.6397,0.004,-168.829,-37.871,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
49437,31.84,1.0,0.0,-0.0486,2,2899,0.2717,0.0614,-168.736,-37.711,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
49455,32.3,1.0,0.0,-0.0483,2,2863,1.0865,0.0546,-168.656,-37.572,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
49476,32.68,1.0,0.0,-0.0481,2,3250,0.0562,-0.0042,-168.561,-37.408,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
49497,33.06,1.0,0.0,-0.0477,2,3073,1.1803,0.0423,-168.465,-37.242,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
49524,33.68,1.0,0.0,-0.0469,2,3207,1.1664,0.0484,-168.339,-37.024,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
49545,34.16,1.0,0.0,-0.0466,2,3116,-0.3588,0.0234,-168.24,-36.852,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
49566,34.78,1.0,0.0,-0.0451,2,3623,1.1068,0.0521,-168.138,-36.678,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
49584,35.37,1.0,0.0,-0.0444,2,3105,1.0894,0.0355,-168.05,-36.526,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
49602,36.18,1.0,0.0,-0.0293,2,2951,0.9689,-0.0235,-167.959,-36.371,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
49620,36.71,1.0,0.0,-0.0185,2,3007,0.7007,-0.0068,-167.868,-36.213,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
49641,37.25,1.0,0.0,-0.0142,2,3053,0.7284,-0.0518,-167.759,-36.027,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
49662,37.71,1.0,0.0,-0.0073,2,3094,0.7268,-0.0544,-167.65,-35.838,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
49683,38.25,1.0,0.0,-0.0043,2,3139,0.7404,-0.0045,-167.538,-35.646,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
49701,38.8,1.0,0.0,-0.0032,2,3184,0.7451,-0.0341,-167.442,-35.479,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
49722,39.28,1.0,0.0,-0.0018,2,3222,0.7449,-0.0297,-167.328,-35.282,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
49746,39.91,1.0,0.0,-0.0013,2,3276,0.7554,-0.0243,-167.196,-35.053,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
